Date,TCS,HDFC Bank,Reliance,HUL,Bharti Airtel,M&M,Sun Pharma,L&T,Tata Steel,Titan
2010-01-01,253.21510314941406,70.49858093261719,211.65931701660156,178.61251831054688,254.4624481201172,211.24557495117188,130.8842315673828,503.3763732910156,35.47406768798828,69.02310180664062
2010-02-01,262.0201416015625,73.68624877929688,198.0538330078125,174.1158447265625,231.9976806640625,209.21107482910156,136.80625915527344,553.0299072265625,35.80131530761719,80.30623626708984
2010-03-01,268.503662109375,83.57130432128906,217.33416748046875,176.58535766601562,259.57000732421875,224.77084350585938,159.2237548828125,576.5574340820312,39.39796829223633,84.64518737792969
2010-04-01,263.25836181640625,86.46508026123047,209.11019897460938,176.76962280273438,247.94314575195312,218.45974731445312,139.60511779785156,570.9717407226562,38.57516098022461,97.91956329345703
2010-05-01,255.5712127685547,81.6241226196289,213.10275268554688,174.85301208496094,218.3360595703125,237.78749084472656,147.8639678955078,576.7343139648438,31.21044158935547,102.1849365234375
2010-06-01,263.020263671875,83.47715759277344,222.12130737304688,197.22564697265625,218.2530517578125,260.4783935546875,158.6106719970703,639.5216064453125,30.27232551574707,109.00260162353516
2010-07-01,294.810546875,92.52088928222656,205.77581787109375,187.8138885498047,254.7946319580078,278.92010498046875,157.1445770263672,634.3423461914062,34.02195739746094,129.8143768310547
2010-08-01,296.1972351074219,92.84060668945312,187.34130859375,197.56126403808594,272.7240295410156,264.2467041015625,156.59375,645.6923828125,33.115966796875,135.63470458984375
2010-09-01,325.4044189453125,108.28759765625,201.2104949951172,230.83677673339844,305.1743469238281,291.5694885253906,180.94515991210938,730.9588623046875,41.29834747314453,151.47402954101562
2010-10-01,369.6191101074219,99.17643737792969,223.42568969726562,220.11837768554688,271.3077392578125,309.3630676269531,188.96482849121094,721.9337768554688,37.3417854309082,164.34536743164062
2010-11-01,378.44708251953125,99.41567993164062,200.87420654296875,225.06103515625,300.0506286621094,322.6871337890625,200.40089416503906,694.2532958984375,37.05035400390625,170.86199951171875
2010-12-01,409.97857666015625,102.06702423095703,215.7726593017578,236.1160430908203,298.9258728027344,328.1263732910156,217.1476593017578,704.649169921875,43.10714340209961,166.32553100585938
2011-01-01,408.5029296875,89.0582504272461,187.36166381835938,204.6112518310547,265.7674560546875,300.7825012207031,197.40084838867188,584.2614135742188,40.52857971191406,166.61007690429688
2011-02-01,391.151611328125,89.27356719970703,196.5228729248047,212.79872131347656,276.014892578125,259.62969970703125,189.63198852539062,543.9779663085938,38.466346740722656,153.96778869628906
2011-03-01,417.09930419921875,102.04529571533203,213.8160858154297,216.64718627929688,297.7594909667969,295.301025390625,198.13966369628906,588.1064453125,39.42302322387695,176.3422088623047
2011-04-01,410.6696472167969,99.85721588134766,200.49716186523438,215.21343994140625,316.6298522949219,318.9344482421875,208.5503387451172,568.0447998046875,39.05872344970703,186.43524169921875
2011-05-01,407.67486572265625,104.3812484741211,195.78639221191406,229.81507873535156,311.71429443359375,283.3895263671875,213.78932189941406,584.70654296875,37.31644821166992,203.94017028808594
2011-06-01,420.0544738769531,110.18537902832031,184.8127899169922,259.320068359375,329.0018310546875,295.9546203613281,222.9462890625,649.2882080078125,38.662750244140625,198.2979736328125
2011-07-01,404.36932373046875,106.61334991455078,170.30133056640625,247.06752014160156,364.2846374511719,308.8473815917969,232.0360870361328,614.3273315429688,36.45895004272461,212.38967895507812
2011-08-01,370.7253112792969,103.36106872558594,160.9732666015625,244.32241821289062,337.9786071777344,316.3034362792969,220.1252899169922,577.9727172851562,30.28873062133789,191.40660095214844
2011-09-01,368.9114685058594,102.41934204101562,166.26980590820312,259.7260437011719,315.7194519042969,344.84210205078125,208.58009338378906,487.681884765625,26.849693298339844,194.4307861328125
2011-10-01,397.93524169921875,107.31417083740234,180.5035858154297,286.5679626464844,327.24578857421875,370.80963134765625,227.4989013671875,507.6368103027344,31.20989227294922,202.20054626464844
2011-11-01,397.84613037109375,96.91127014160156,160.07852172851562,305.6470642089844,322.4849548339844,310.75421142578125,236.9921112060547,456.98626708984375,24.900684356689453,165.30569458007812
2011-12-01,413.930419921875,93.48379516601562,142.5331268310547,313.5355224609375,286.90386962890625,292.1569519042969,224.43223571777344,357.3017272949219,21.678207397460938,159.11776733398438
2012-01-01,404.9713134765625,107.77409362792969,168.06956481933594,291.6403503417969,305.4460754394531,288.72894287109375,247.36471557617188,470.8702392578125,29.14130210876465,188.8942108154297
2012-02-01,436.9964294433594,113.24929809570312,168.82040405273438,292.6024475097656,292.4999694824219,304.17657470703125,248.22161865234375,469.8824157714844,30.54729652404785,212.52923583984375
2012-03-01,417.98883056640625,113.85155487060547,154.3911895751953,315.57501220703125,282.2265625,300.04156494140625,257.038330078125,470.22369384765625,30.495590209960938,212.66883850097656
2012-04-01,445.8117370605469,118.81212615966797,153.25985717773438,321.38543701171875,259.34100341796875,304.2623291015625,271.9883728027344,440.7134094238281,29.97197151184082,216.8096466064453
2012-05-01,445.36492919921875,110.86211395263672,147.0526123046875,329.389404296875,252.70089721679688,279.6445007324219,255.68545532226562,421.2256774902344,26.093360900878906,207.22537231445312
2012-06-01,462.7623596191406,124.39657592773438,153.77374267578125,349.7837829589844,254.7889404296875,303.0625,286.73565673828125,502.12274169921875,28.53688621520996,207.87669372558594
2012-07-01,451.62591552734375,129.7384033203125,154.9720916748047,362.9626770019531,250.6127471923828,305.5480651855469,294.7630920410156,491.9207458496094,27.569961547851562,208.15396118164062
2012-08-01,487.97686767578125,131.416015625,159.7237548828125,400.0473327636719,207.76829528808594,332.7089538574219,303.3280029296875,487.9919128417969,24.040977478027344,206.65350341796875
2012-09-01,470.600341796875,138.876953125,174.47909545898438,423.9288635253906,222.56700134277344,376.9814758300781,315.64892578125,580.2559814453125,26.66858673095703,244.91741943359375
2012-10-01,478.81329345703125,139.99166870117188,167.87254333496094,424.5113220214844,226.0885009765625,385.5918273925781,315.0136413574219,591.1756591796875,26.08984375,243.18243408203125
2012-11-01,478.2672119140625,155.38812255859375,165.413330078125,427.690673828125,282.5582275390625,412.86163330078125,322.13848876953125,606.0926513671875,25.690719604492188,292.3253173828125
2012-12-01,457.1018981933594,149.7924041748047,174.96881103515625,417.15936279296875,265.873046875,406.16949462890625,334.119140625,584.0169677734375,28.50458526611328,266.67535400390625
2013-01-01,490.35748291015625,141.94522094726562,184.78488159179688,376.7032165527344,284.7381896972656,387.6844482421875,325.8370056152344,560.2877197265625,26.934669494628906,261.9861145019531
2013-02-01,553.4148559570312,138.03814697265625,169.61273193359375,352.14337158203125,270.7360534667969,380.9051513671875,364.02532958984375,497.0403747558594,22.717191696166992,244.68295288085938
2013-03-01,574.84765625,138.03814697265625,161.07843017578125,371.13946533203125,244.6182098388672,375.4991455078125,371.6493835449219,496.4588928222656,20.811344146728516,240.46266174316406
2013-04-01,502.8524475097656,150.609130859375,164.26708984375,464.01385498046875,267.2564697265625,402.8779602050781,431.5979919433594,549.5131225585938,20.13947296142578,253.87379455566406
2013-05-01,546.647705078125,154.6265411376953,170.06626892089844,470.9286804199219,253.9844207763672,421.82073974609375,473.8251953125,509.0138854980469,19.407733917236328,275.3034362792969
2013-06-01,558.7833862304688,149.0181427001953,181.94117736816406,465.08673095703125,245.4046630859375,423.15045166015625,459.0535888671875,511.6121826171875,18.210338592529297,209.607666015625
2013-07-01,669.7380981445312,135.7189178466797,183.93438720703125,491.741943359375,289.7751770019531,403.2099609375,513.079833984375,461.7646179199219,14.799525260925293,249.0992431640625
2013-08-01,750.0479125976562,132.21322631835938,180.09561157226562,506.91448974609375,251.5871124267578,346.5154724121094,473.0536804199219,401.13726806640625,18.79958152770996,212.45314025878906
2013-09-01,711.1659545898438,132.0017852783203,173.4621124267578,503.7033386230469,268.0315856933594,366.06988525390625,540.955322265625,436.6807861328125,18.631484985351562,219.49864196777344
2013-10-01,780.6903076171875,151.53330993652344,192.93017578125,494.0021057128906,308.78509521484375,392.7912292480469,555.0878295898438,539.0758666992188,22.9780330657959,252.69296264648438
2013-11-01,740.880615234375,147.19297790527344,179.95846557617188,481.7703857421875,275.05511474609375,418.1854553222656,521.5345458984375,579.0760498046875,27.485816955566406,216.6142120361328
2013-12-01,802.8684692382812,148.20571899414062,188.8171844482422,462.2485046386719,277.7888488769531,417.720947265625,517.3861083984375,592.5294189453125,29.10504722595215,217.039794921875
