Date,TCS,HDFC Bank,Reliance,HUL,Bharti Airtel,M&M,Sun Pharma,L&T,Tata Steel,Titan
2010-02-01,0.03418203956770593,0.04422361705878596,-0.06643910924686741,-0.025497905334831816,-0.09242589903419873,-0.009677649297999791,0.04425255421112525,0.09407393450918534,0.009182691285023425,0.1514060226897013
2010-03-01,0.024443175848864566,0.1258840133625653,0.09289723373284159,0.014083520333231623,0.11229906948644912,0.07173774015757917,0.15174471816620463,0.04166287837036983,0.09572961561943573,0.05262097373551525
2010-04-01,-0.019728638702323085,0.0340404246069124,-0.038574730522420386,0.001042946405775812,-0.04582697508236004,-0.028479635153381273,-0.13149262626762884,-0.009735242636550867,-0.021105677371920824,0.14567810514576687
2010-05-01,-0.029634824235177583,-0.05761579740697618,0.018913075533913123,-0.010901628673947516,-0.12716403541199633,0.08477560444495763,0.057474865159236596,0.010041981819414108,-0.21185586626284153,0.042637915843559505
2010-06-01,0.02872998733227207,0.02244819404720458,0.041449205879316456,0.12040279931351087,-0.000380255995151512,0.09114253635268633,0.07015988043669151,0.10333870751740543,-0.03051875931023788,0.06458747528239306
2010-07-01,0.11410185865729508,0.10286141643195797,-0.07643634880228879,-0.04889697137527944,0.15480267833173475,0.06840546318971079,-0.00928634131078401,-0.00813161999329422,0.11677217613859173,0.17473380949654801
2010-08-01,0.004692631194917548,0.0034496670693016764,-0.0938551805561172,0.050597215921996806,0.06800254729087428,-0.05404222671473539,-0.0035113822245033195,0.017734415851202574,-0.02699057533584971,0.043859716767630175
2010-09-01,0.0940432074896882,0.15390651286966806,0.07141946598486143,0.1556621326376988,0.1124228394498682,0.09839520795331486,0.14453912928593124,0.12403397947671595,0.220806939764511,0.11044891176913971
2010-10-01,0.1274042685333377,-0.08789016939490468,0.10472727532362071,-0.047545384510854646,-0.11762949672240051,0.05923720331920126,0.04336690365723383,-0.012423769369955436,-0.1007095339355114,0.08155592441710265
2010-11-01,0.023603211433595676,0.00240938736832648,-0.10640000014639332,0.022206150751325187,0.10069747679879831,0.04216766446872146,0.05875892599898473,-0.03909653928062564,-0.007835046016401209,0.038886097786533666
2010-12-01,0.0800286515841941,0.026319850778772337,0.07154647613510047,0.047951759409596124,-0.0037555970180291522,0.016715590843741093,0.0802577486437869,0.014863174037554612,0.1514108171064888,-0.026909312084286367
2011-01-01,-0.0036058201928026406,-0.1363390429683947,-0.14118457004254722,-0.14321154589671375,-0.11757392454093185,-0.08701140235478362,-0.0953411549408354,-0.18735153897936835,-0.0616813264219758,0.0017093153207901272
2011-02-01,-0.04340384850591981,0.0024147892390247306,0.04773804604958004,0.039234902292118685,0.03783312181229912,-0.147131032312974,-0.04015113336388022,-0.07143976573038775,-0.05222364873657687,-0.07891279729767733
2011-03-01,0.06422909542850179,0.1337113462898503,0.08433740725002077,0.01792341211511086,0.07583126047272479,0.12873887717581967,0.04388686279874763,0.0779992180313348,0.024566243018362903,0.13568305951026505
2011-04-01,-0.015535219782420798,-0.021675465887402424,-0.06431614207731731,-0.006639881102476757,0.06144734990690577,0.07699032915174316,0.05120829068897204,-0.034707672451377146,-0.009283748288712767,0.05565747355476716
2011-05-01,-0.007319154258345288,0.04430872253449387,-0.023775862086515172,0.06564470044212717,-0.015646387947643565,-0.11816322075822858,0.024810608071500036,0.028909796913170614,-0.045632042862377764,0.08974271863589099
2011-06-01,0.02991444360038402,0.05411416422300829,-0.05768086295405783,0.12078810387791954,0.05397627095583389,0.04338376347427251,0.04193983322718852,0.10476661284539789,0.035442410245974845,-0.028055851148140527
2011-07-01,-0.03805577456010318,-0.0329554736118298,-0.08177396560869254,-0.048401423748007925,0.1018722168107466,0.04264111119667978,0.039962020911951536,-0.05534879891007664,-0.05868963919474173,0.06865187891821913
